Communicating,CFA Interdisciplinary,62-150,Introduction to Media Synthesis and Analysis,N,N,
Communicating,Economics,73-270,Writing for Economists,Y,N,
Communicating,Engineering and Public Policy,19-325,Technology and Policy Writing for Lay Audiences,N,N,
Communicating,English,76-100,Reading and Writing in an Academic Context,N,N,
Communicating,English,76-101,Interpretation and Argument,N,N,
Communicating,English,76-270,Writing for the Professions,N,N,
Communicating,English,76-272,Language in Design,N,N,
Communicating,English,76-273,Presenting a Public Self,Y,N,
Communicating,English,76-285,Team Communication,Y,N,
Communicating,English,76-318,Communicating in the Global Marketplace,N,N,
Communicating,English,76-321,History of the British Novel,Y,N,
Communicating,English,76-325,Intertextuality,Y,N,
Communicating,English,76-355,"Leadership, Dialogue and Change (CL 76-755)",Y,N,
Communicating,English,76-357,"Language, Power and the Law",N,N,
Communicating,English,76-366,Symphonic Poetry: Art of Journaling and Revision,Y,N,
Communicating,English,76-372,News Writing (CL 76-772),Y,N,
Communicating,English,76-377,Rhetoric of Fiction,N,N,
Communicating,English,76-378,Literacy: Educational Theory & Community Practice,N,N,
Communicating,English,76-385,Introduction to Discourse Analysis (CL 76-785),Y,N,
Communicating,English,76-386,Language and Culture,N,N,
Communicating,English,76-387,Sociolinguistics,N,N,
Communicating,English,76-389,Rhetorical Grammar (CL 76-789),Y,N,
Communicating,English,76-393,Rhetorical Traditions,N,N,
Communicating,English,76-395,Science Writing,Y,N,
Communicating,English,76-396,"Non-Profit Advocacy: Genres, Methods, and Issues",Y,N,
Communicating,English,76-427,Research Writing Pedagogy,Y,N,
Communicating,English,76-428,Visual Verbal Communication,Y,N,
Communicating,English,76-474,Software Documentaries,Y,N,
Communicating,English,76-475,"Law, Performance, and Identity",N,N,
Communicating,English,76-476,Rhetoric of Science,Y,N,
Communicating,English,76-481,Introduction to Multimedia Design,Y,N,
Communicating,English,76-491,Rhetorical Analysis,Y,N,
Communicating,English,76-494,Healthcare Communication (CL 76794),Y,N,
Communicating,English,760-286,Oral Communication,Y,N,
Communicating,Institute for Politics and Strategy,84-343,Language and Power: How to Understand and Use Political Speech,N,N,
Communicating,Modern Languages,82-101,Elementary French I,N,N,
