Fall,2016,ROBIN MEJIA,STA,36146,FRESH SEM STATISTICS,A,Lect,11,14,79%,5,4,2.91,3,3.82,3.55,3.09,4.55,3.09,3
Spring,2016,PETER FREEMAN,STA,36147,FRESH SEM STATISTICS,A,Lect,7,16,44%,7.14,4.29,4.29,4.14,4.86,4.43,4.71,4.86,4.71,4.57
Spring,2016,SAMUEL VENTURA,STA,36148,FRESH SEM STATISTICS,A,Lect,7,17,41%,6.2,5,4.4,4.6,5,4.4,4.4,4.6,5,5
Spring,2014,ANDREW THOMAS,STA,36148,FRESH SEM STATISTICS,A,Lect,8,16,50%,3.5,4.25,3.88,3.75,4.13,4,4.13,4.63,3.88,4
Fall,2010,PETER FREEMAN,STA,36148,FRMN STATIC SEMINAR,A,Lect,3,7,43%,3,4.33,4.67,3.67,4.67,4.33,4.33,4.67,4.67,4.33
Spring,2015,PETER FREEMAN,STA,36149,FRESH SEM STATISTICS,A,Lect,9,14,64%,4.33,4.56,4.56,4.44,4.67,4.56,4.56,4.78,4.56,4.33
Spring,2014,PETER FREEMAN,STA,36149,FRESH SEM STATISTICS,A,Lect,10,15,67%,5.9,4.6,4.8,4.7,4.9,4.8,4.7,4.9,4.8,4.8
Fall,2014,KATHRYN ROEDER,STA,36149,FRESH SEM STATISTICS,A,Lect,10,14,71%,4.7,5,4.8,4.8,4.8,5,4.9,4.9,4.8,4.9
Spring,2012,PETER FREEMAN,STA,36149,STATISTICS FRESH SEM,A,Lect,10,14,71%,5.6,4.5,4.6,4.3,4.5,4.4,4.5,4.8,4.5,4.4
Fall,2012,REBECCA NUGENT,STA,36149,STATISTICS FRESH SEM,A,Lect,11,15,73%,4.73,4.91,4.73,4.82,4.91,4.91,4.91,5,5,5
Spring,2011,WILLIAM EDDY,STA,36149,STATISTICS FRESH SEM,A,Lect,7,15,47%,3.71,3.57,3.43,3.29,3.29,3.57,3.86,3.43,3.29,3.29
Fall,2011,WILLIAM EDDY,STA,36149,STATISTICS FRESH SEM,A,Lect,8,16,50%,4.63,3.75,3.75,3.88,3.75,4.25,3.63,4,3.5,3.88
Spring,2010,STEPHEN FIENBERG,STA,36149,STATISTICS FRESH SEM,A,Lect,2,13,15%,6.5,5,4.5,5,5,5,5,5,4.5,5
Fall,2010,WILLIAM EDDY,STA,36149,STATISTICS FRESH SEM,A,Lect,3,7,43%,7,5,5,5,4.67,5,5,5,5,5
Spring,2016,PETER FREEMAN,STA,36198,RESCH TRAINING STATS,A,Lect,1,4,25%,8,4,4,5,5,5,5,5,4,4
Fall,2016,PETER FREEMAN,STA,36198,RESCH TRAINING STATS,A,Lect,2,3,67%,6.5,5,5,5,5,5,5,5,5,5
Fall,2015,PETER FREEMAN,STA,36198,RESCH TRAINING STATS,A,Lect,2,2,100%,8,5,5,5,5,5,5,5,5,5
Spring,2014,PETER FREEMAN,STA,36198,RESCH TRAINING STATS,A,Lect,1,3,33%,5,5,5,5,5,5,5,5,5,5
Summer,2016,GORDON WEINBERG,STA,36201,STATS REASON PRACTCE,E,Lect,8,15,53%,11.38,4.75,4.88,4.75,4.88,4.63,4.88,5,4.88,4.75
Summer,2016,GORDON WEINBERG,STA,36201,STATS REASON PRACTCE,S,Lect,4,6,67%,9.5,5,5,5,5,5,5,5,5,5
Summer,2016,GORDON WEINBERG,STA,36201,STATS REASON PRACTCE,U,Lect,5,7,71%,12.8,5,5,5,5,5,5,5,5,5
Spring,2016,GORDON WEINBERG,STA,36201,STATS REASON PRACTCE,1,Lect,63,132,48%,6.69,4.67,4.68,4.62,4.38,4.59,4.7,4.63,4.6,4.37
Spring,2016,AMAL HELU,STA,36201,STATS REASON PRACTCE,W,Lect,15,26,58%,11.57,4.53,4.8,4.73,4.33,4.4,4.8,3.47,4.4,4.2
